"title,console"
"Marvel Super Heroes vs. Street Fighter","psx"
"Steel Reign","psx"
"RPG Maker","psx"
"Nagano Winter Olympics '98","psx"
"Lode Runner","psx"
"Tekken","psx"
"Legend of Mana","psx"
"NCAA Final Four 2001","psx"
"Stuart Little 2","psx"
"Gran Turismo 2","psx"
"Str.at.e.s. 7 - Riddle Roundup!","psx"
"Jet Moto","psx"
"Medal of Honor","psx"
"Mega Man X5","psx"
"Aquanaut's Holiday","psx"
"Namco Museum Vol. 1","psx"
"Quaddle Family Mysteries, The 1 - The Case of the Scarce Scarab - Lobby - Kitchen","psx"
"F1 World Grand Prix 2000","psx"
"FIFA Soccer 96","psx"
"Chess","psx"
"Philosoma","psx"
"Barbie - Race & Ride","psx"
"Shadow Tower","psx"
"Backstreet Billiards","psx"
"Action Bass","psx"
"Resident Evil 3 - Nemesis","psx"
"S.C.A.R.S.","psx"
"College Slam","psx"
"ECW Anarchy Rulz","psx"
"Jeremy McGrath SuperCross 2000","psx"
"Street Fighter Alpha - Warriors' Dreams","psx"
"Rayman Rush","psx"
"Disney Presents Tigger's Honey Hunt","psx"
"Walt Disney's The Jungle Book - Rhythm n' Groove","psx"
"Armorines - Project S.W.A.R.M.","psx"
"Monkey Hero","psx"
"Action Man - Operation Extreme","psx"
"You Don't Know Jack Mock 2","psx"
"Trick'n Snowboarder","psx"
"Crash Bash","psx"
"Power Rangers - Time Force","psx"
"Jupiter Strike","psx"
"Syphon Filter 2","psx"
"Q-bert","psx"
"Tiny Toon Adventures - Toonenstein - Dare to Scare!","psx"
"TNN Motorsports Hardcore TR","psx"
"Planet of the Apes","psx"
"Bloody Roar","psx"
"Cool Boarders 2","psx"
"NHL Championship 2000","psx"
"Syndicate Wars","psx"
"007 - Tomorrow Never Dies","psx"
"Space Jam","psx"
"Scooby-Doo and the Cyber Chase","psx"
"Assault Retribution","psx"
"Romance of the Three Kingdoms VI - Awakening of the Dragon","psx"
"Runabout 2","psx"
"Guilty Gear","psx"
"Army Men - Green Rouge","psx"
"Moto Racer World Tour","psx"
"Bob the Builder - Can We Fix It","psx"
"Tony Hawk's Pro Skater 3","psx"
"Contra - Legacy of War","psx"
"3D Baseball","psx"
"Blue's Clues - Blue's Big Musical","psx"
"Uprising X","psx"
"WWF Attitude","psx"
"Power Play - Sports Trivia","psx"
"Covert Ops - Nuclear Dawn","psx"
"PGA Tour 98","psx"
"Disney's The Little Mermaid II","psx"
"Str.at.e.s. 4 - Titlerama!","psx"
"NFL GameDay 2000","psx"
"Mat Hoffman's Pro BMX","psx"
"Mona & Moki 2 - Drive Me Wilder!","psx"
"Ultimate Fighting Championship","psx"
"SuperCross 2000","psx"
"Muppet Monster Adventure","psx"
"Ultimate Brain Games","psx"
"Clock Tower","psx"
"ESPN MLS GameNight","psx"
"Tony Hawk's Pro Skater 2","psx"
"Dragon Seeds","psx"
"NBA ShootOut 2001","psx"
"Casper","psx"
"Billiards","psx"
"Mummy, The","psx"
"Twisted Metal - Small Brawl","psx"
"Dare Devil Derby 3D","psx"
"Mega Man Legends 2","psx"
"Rescue Heroes - Molten Menace","psx"
"Mobile Light Force","psx"
"NCAA March Madness 2000","psx"
"Final Doom","psx"
"Kagero - Deception II","psx"
"Vs.","psx"
"Final Fantasy Chronicles - Final Fantasy IV","psx"
"Caesars Palace 2000 - Millennium Gold Edition","psx"
"Play with the Teletubbies","psx"
"Land Before Time, The - Great Valley Racing Adventure","psx"
"Creative Journey 1","psx"
"Samurai Shodown III - Blades of Blood","psx"
"Rascal","psx"
"NHL Powerplay '96","psx"
"Timeless Math 6 - Brainswarm","psx"
"Arcade's Greatest Hits - Williams","psx"
"Power Serve 3D Tennis","psx"
"Roadsters","psx"
"Shellshock","psx"
"Powerslave","psx"
"NCAA Football 98","psx"
